City ID,City,Country,Date,Lat,Lng,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Cabo San Lucas,MX,2021-10-23 21:11:22,22.8909,-109.9124,92.52,61,20,17.27
1,Boa Vista,BR,2021-10-23 21:13:48,2.8197,-60.6733,91.38,49,40,6.91
2,Ushuaia,AR,2021-10-23 21:09:04,-54.8,-68.3,33.46,93,75,29.93
3,Vila Velha,BR,2021-10-23 21:11:10,-20.3297,-40.2925,75.15,78,75,12.66
4,Rikitea,PF,2021-10-23 21:10:37,-23.1203,-134.9692,74.79,82,99,21.36
5,Klyuchi,RU,2021-10-23 21:11:29,52.2667,79.1667,46.8,58,100,18.48
6,Port Alfred,ZA,2021-10-23 21:10:35,-33.5906,26.891,61.07,62,3,22.3
7,Tiznit Province,MA,2021-10-23 21:12:44,29.5833,-9.5,64.26,74,0,0.94
8,East London,ZA,2021-10-23 21:10:48,-33.0153,27.9116,61.75,67,61,19.98
9,Scarborough,GB,2021-10-23 21:11:22,54.2797,-0.4044,52.54,75,100,3.0
10,Makaleng,BW,2021-10-23 21:11:15,-20.9,27.2833,79.29,30,42,6.98
11,Hualmay,PE,2021-10-23 21:12:13,-11.0964,-77.6139,67.33,73,11,12.59
12,Tasiilaq,GL,2021-10-23 21:11:10,65.6145,-37.6368,33.96,86,100,4.5
13,Baturaja,ID,2021-10-23 21:13:49,-4.1333,104.1667,73.13,99,93,1.83
14,Mount Isa,AU,2021-10-23 21:13:49,-20.7333,139.5,69.57,78,4,0.0
15,Kargasok,RU,2021-10-23 21:12:59,59.0556,80.8572,45.0,87,100,16.98
16,Punta Arenas,CL,2021-10-23 21:07:05,-53.15,-70.9167,39.31,75,75,31.07
17,Albany,US,2021-10-23 21:07:49,42.6001,-73.9662,53.1,60,94,7.47
18,Presidencia Roque Sáenz Peña,AR,2021-10-23 21:13:50,-26.7852,-60.4388,69.42,74,87,17.02
19,Puerto Ayora,EC,2021-10-23 21:10:41,-0.7393,-90.3518,76.96,84,100,9.86
20,Alyangula,AU,2021-10-23 21:13:50,-13.8483,136.4192,81.0,79,13,8.63
21,Kaeo,NZ,2021-10-23 21:13:51,-35.1,173.7833,63.32,98,100,5.86
22,Linxia Chengguanzhen,CN,2021-10-23 21:13:51,35.6003,103.2064,44.02,76,81,1.25
23,Mataura,NZ,2021-10-23 21:10:50,-46.1927,168.8643,52.52,94,100,0.65
